"DBN","School name","Year of SHST","Grade level","Enrollment on 10/31","Number of students who registered for the SHSAT","Number of students who took the SHSAT"
"05M499","Frederick Douglass Academy",2016,8,83,10,8
"05M499","Frederick Douglass Academy",2013,9,344,10,4
"05M499","Frederick Douglass Academy",2014,9,293,3,2
"05M499","Frederick Douglass Academy",2015,9,273,6,6
"05M499","Frederick Douglass Academy",2016,9,323,2,2
"05M514","New Design Middle School",2013,8,111,32,23
"05M514","New Design Middle School",2014,8,116,38,15
"05M514","New Design Middle School",2015,8,98,15,11
"05M514","New Design Middle School",2016,8,66,12,6
"05M670","Thurgood Marshall Academy for Learning and Social Change",2013,8,61,14,7
"05M670","Thurgood Marshall Academy for Learning and Social Change",2014,8,58,26,11
"05M670","Thurgood Marshall Academy for Learning and Social Change",2015,8,58,19,10
"05M670","Thurgood Marshall Academy for Learning and Social Change",2016,8,57,17,13
"05M670","Thurgood Marshall Academy for Learning and Social Change",2013,9,138,0,0
"05M670","Thurgood Marshall Academy for Learning and Social Change",2014,9,114,4,1
"05M670","Thurgood Marshall Academy for Learning and Social Change",2015,9,98,0,0
"05M670","Thurgood Marshall Academy for Learning and Social Change",2016,9,113,2,1
"05M692","High School for Mathematics, Science and Engineering at City College",2013,9,123,15,12
"05M692","High School for Mathematics, Science and Engineering at City College",2014,9,118,18,12
"05M692","High School for Mathematics, Science and Engineering at City College",2015,9,115,4,2
"05M692","High School for Mathematics, Science and Engineering at City College",2016,9,133,10,9
"84M065","Democracy Prep Endurance Charter School",2014,8,115,118,26
"84M065","Democracy Prep Endurance Charter School",2015,8,110,43,39
"84M065","Democracy Prep Endurance Charter School",2016,8,105,31,27
"84M065","Democracy Prep Endurance Charter School",2015,9,111,1,1
"84M065","Democracy Prep Endurance Charter School",2016,9,126,1,1
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2013,8,91,14,6
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2014,8,64,8,5
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2015,8,77,5,5
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2016,8,83,7,6
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2014,9,99,1,0
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2015,9,70,1,1
"84M284","Harlem Children's Zone Promise Academy 1 Charter School",2016,9,80,1,1
"84M336","KIPP Infinity Charter School",2013,8,87,97,11
"84M336","KIPP Infinity Charter School",2014,8,91,90,18
"84M336","KIPP Infinity Charter School",2015,8,78,78,12
"84M336","KIPP Infinity Charter School",2016,8,88,30,24
"84M336","KIPP Infinity Charter School",2013,9,71,1,0
"84M336","KIPP Infinity Charter School",2016,9,79,0,0
"84M341","Harlem Children's Zone Promise Academy II Charter School",2013,8,40,9,9
"84M341","Harlem Children's Zone Promise Academy II Charter School",2014,8,76,27,20
"84M341","Harlem Children's Zone Promise Academy II Charter School",2015,8,75,23,21
"84M341","Harlem Children's Zone Promise Academy II Charter School",2016,8,79,10,5
"84M341","Harlem Children's Zone Promise Academy II Charter School",2013,9,35,0,0
"84M341","Harlem Children's Zone Promise Academy II Charter School",2014,9,38,5,5
"84M341","Harlem Children's Zone Promise Academy II Charter School",2015,9,79,1,1
"84M341","Harlem Children's Zone Promise Academy II Charter School",2016,9,76,7,4
"84M350","Democracy Prep Charter School",2013,8,115,34,26
"84M350","Democracy Prep Charter School",2014,8,123,42,24
"84M350","Democracy Prep Charter School",2015,8,112,31,24
"84M350","Democracy Prep Charter School",2016,8,130,36,24
"84M350","Democracy Prep Charter School",2013,9,124,0,0
"84M350","Democracy Prep Charter School",2014,9,122,0,0
"84M350","Democracy Prep Charter School",2015,9,104,2,2
"84M350","Democracy Prep Charter School",2016,9,113,0,0
"84M384","Success Academy Charter School - Harlem 2",2016,8,70,34,32
"84M388","St. HOPE Leadership Academy Charter School",2013,8,68,27,24
"84M388","St. HOPE Leadership Academy Charter School",2014,8,76,26,20
"84M388","St. HOPE Leadership Academy Charter School",2015,8,76,13,10
"84M388","St. HOPE Leadership Academy Charter School",2016,8,85,18,14
"84M481","Democracy Prep Harlem Charter School",2013,8,117,21,14
"84M481","Democracy Prep Harlem Charter School",2014,8,114,26,15
"84M481","Democracy Prep Harlem Charter School",2015,8,107,24,22
"84M481","Democracy Prep Harlem Charter School",2016,8,110,17,12
"84M481","Democracy Prep Harlem Charter School",2013,9,110,0,0
"84M481","Democracy Prep Harlem Charter School",2014,9,119,0,0
"84M481","Democracy Prep Harlem Charter School",2015,9,106,1,1
"84M481","Democracy Prep Harlem Charter School",2016,9,113,0,0
"84M709","Harlem Village Academy Charter School",2013,8,68,12,8
"84M709","Harlem Village Academy Charter School",2014,8,65,20,14
"84M709","Harlem Village Academy Charter School",2015,8,53,26,19
"84M709","Harlem Village Academy Charter School",2016,8,66,18,16
"84M709","Harlem Village Academy Charter School",2014,9,61,1,1
"84M709","Harlem Village Academy Charter School",2015,9,45,2,1
"84M709","Harlem Village Academy Charter School",2016,9,42,1,1
"84M726","KIPP STAR College Prep Charter School",2013,8,75,74,29
"84M726","KIPP STAR College Prep Charter School",2014,8,71,74,19
"84M726","KIPP STAR College Prep Charter School",2015,8,84,84,29
"84M726","KIPP STAR College Prep Charter School",2016,8,62,60,19
